    Finished `release` profile [optimized] target(s) in 0.08s
(optimized) bytes, iterations, duration
0,3950146,10
4096,3925128,10
8192,3938038,10
16384,3938788,10
32768,3938544,10
65536,3944800,10
131072,3942448,10
262144,3942712,10
524288,3943775,10
1048576,3943693,10
2097152,3975774,10
4194304,3976173,10
8388608,3981204,10
16777216,3976067,10
33554432,3960085,10
67108864,3977362,10
134217728,3985525,10
268435456,3979624,10
536870912,3982468,10
(naive) bytes, iterations, duration
0,1627462,10
4096,1575097,10
8192,1517774,10
16384,1359401,10
32768,1186791,10
65536,933744,10
131072,609677,10
262144,247713,10
524288,124878,10
1048576,63803,10
2097152,31993,10
4194304,16200,10
8388608,8380,10
16777216,4027,10
33554432,1931,10
67108864,953,10
134217728,407,10
268435456,195,10
536870912,95,10
