    Finished `release` profile [optimized] target(s) in 0.08s
(optimized) bytes, iterations, duration
0,3956047,10
4096,3942856,10
8192,3946092,10
16384,3933464,10
32768,3941699,10
65536,3939732,10
131072,3942919,10
262144,3953925,10
524288,3950030,10
1048576,3941571,10
2097152,3985626,10
4194304,3975954,10
8388608,3975569,10
16777216,3977510,10
33554432,3975888,10
67108864,3977320,10
134217728,3944883,10
268435456,3980853,10
536870912,3975990,10
(naive) bytes, iterations, duration
0,1648071,10
4096,1606770,10
8192,1538551,10
16384,1431520,10
32768,1233192,10
65536,970222,10
131072,516432,10
262144,242813,10
524288,126892,10
1048576,64399,10
2097152,32264,10
4194304,16318,10
8388608,8475,10
16777216,4048,10
33554432,1935,10
67108864,955,10
134217728,409,10
268435456,195,10
536870912,95,10
