    Finished `release` profile [optimized] target(s) in 0.09s
(optimized) bytes, iterations, duration
0,3873488,10
4096,3808355,10
8192,3814041,10
16384,3813604,10
32768,3858293,10
65536,3804641,10
131072,3800248,10
262144,3808512,10
524288,3816578,10
1048576,3833329,10
2097152,3952820,10
4194304,3949338,10
8388608,3946371,10
16777216,3934144,10
33554432,3948857,10
67108864,3949472,10
134217728,3950950,10
268435456,3946315,10
536870912,3954295,10
(naive) bytes, iterations, duration
0,1668004,10
4096,1598375,10
8192,1550640,10
16384,1431530,10
32768,1230151,10
65536,953132,10
131072,542650,10
262144,263670,10
524288,126333,10
1048576,64387,10
2097152,32329,10
4194304,16298,10
8388608,8171,10
16777216,4061,10
33554432,1878,10
67108864,952,10
134217728,406,10
268435456,193,10
536870912,95,10
