    Finished `release` profile [optimized] target(s) in 0.09s
(optimized) bytes, iterations, duration
0,3911165,10
4096,3879397,10
8192,3910221,10
16384,3910680,10
32768,3916606,10
65536,3932157,10
131072,3938062,10
262144,3911302,10
524288,3900827,10
1048576,3923756,10
2097152,3957758,10
4194304,3955995,10
8388608,3958059,10
16777216,3976539,10
33554432,3970733,10
67108864,3955024,10
134217728,3943091,10
268435456,3956005,10
536870912,3985190,10
(naive) bytes, iterations, duration
0,1675826,10
4096,1621538,10
8192,1556850,10
16384,1435420,10
32768,1209110,10
65536,940208,10
131072,586935,10
262144,261413,10
524288,123133,10
1048576,62166,10
2097152,32107,10
4194304,16229,10
8388608,8151,10
16777216,4058,10
33554432,1953,10
67108864,960,10
134217728,408,10
268435456,196,10
536870912,96,10
