    Finished `release` profile [optimized] target(s) in 0.08s
(optimized) bytes, iterations, duration
0,3907769,10
4096,3927490,10
8192,3925512,10
16384,3931763,10
32768,3928099,10
65536,3929817,10
131072,3936641,10
262144,3937292,10
524288,3932948,10
1048576,3929812,10
2097152,3960650,10
4194304,3956301,10
8388608,3953273,10
16777216,3930119,10
33554432,3952134,10
67108864,3959481,10
134217728,3959079,10
268435456,3957866,10
536870912,3957079,10
(naive) bytes, iterations, duration
0,1647088,10
4096,1607018,10
8192,1535633,10
16384,1421985,10
32768,1225095,10
65536,962494,10
131072,579254,10
262144,270660,10
524288,125316,10
1048576,63896,10
2097152,32083,10
4194304,16244,10
8388608,8396,10
16777216,4037,10
33554432,1936,10
67108864,951,10
134217728,407,10
268435456,195,10
536870912,94,10
