    Finished `release` profile [optimized] target(s) in 0.09s
(optimized) bytes, iterations, duration
0,3915707,10
4096,3779590,10
8192,3792479,10
16384,3799126,10
32768,3798649,10
65536,3796946,10
131072,3801837,10
262144,3797822,10
524288,3795569,10
1048576,3789079,10
2097152,3804068,10
4194304,3805648,10
8388608,3813021,10
16777216,3813611,10
33554432,3814783,10
67108864,3817404,10
134217728,3918775,10
268435456,3952862,10
536870912,3960680,10
(naive) bytes, iterations, duration
0,1649035,10
4096,1609201,10
8192,1556185,10
16384,1423886,10
32768,1230852,10
65536,885047,10
131072,605847,10
262144,260038,10
524288,125806,10
1048576,63359,10
2097152,32031,10
4194304,15877,10
8388608,8369,10
16777216,4037,10
33554432,1939,10
67108864,955,10
134217728,406,10
268435456,194,10
536870912,95,10
