    Finished `release` profile [optimized] target(s) in 0.08s
(optimized) bytes, iterations, duration
0,3928860,10
4096,3940806,10
8192,3932566,10
16384,3959617,10
32768,3955886,10
65536,3954952,10
131072,3942218,10
262144,3936815,10
524288,3938306,10
1048576,3940001,10
2097152,3983852,10
4194304,3986865,10
8388608,4002214,10
16777216,3997417,10
33554432,3980779,10
67108864,3986156,10
134217728,3998605,10
268435456,3980752,10
536870912,3981813,10
(naive) bytes, iterations, duration
0,1654442,10
4096,1618248,10
8192,1554555,10
16384,1430410,10
32768,1236303,10
65536,948554,10
131072,592203,10
262144,271036,10
524288,127049,10
1048576,64700,10
2097152,32512,10
4194304,16427,10
8388608,8510,10
16777216,4065,10
33554432,1944,10
67108864,956,10
134217728,408,10
268435456,195,10
536870912,95,10
