    Finished `release` profile [optimized] target(s) in 0.09s
(optimized) bytes, iterations, duration
0,3891513,10
4096,3819391,10
8192,3791874,10
16384,3915869,10
32768,3920221,10
65536,3910989,10
131072,3904781,10
262144,3901831,10
524288,3898766,10
1048576,3897538,10
2097152,3937884,10
4194304,3933864,10
8388608,3943101,10
16777216,3945299,10
33554432,3940346,10
67108864,3946262,10
134217728,3940330,10
268435456,3942358,10
536870912,3950343,10
(naive) bytes, iterations, duration
0,1606260,10
4096,1572536,10
8192,1482315,10
16384,1382474,10
32768,1181432,10
65536,897487,10
131072,515016,10
262144,244129,10
524288,125949,10
1048576,63564,10
2097152,32184,10
4194304,16710,10
8388608,8440,10
16777216,4053,10
33554432,1944,10
67108864,958,10
134217728,407,10
268435456,194,10
536870912,95,10
