parallel,iterations,duration_ns,debug
1,2000,10000000000,false
2,2050,10000000000,false
2,2052,10000000000,false
4,1837,10000000000,false
4,1878,10000000000,false
4,1879,10000000000,false
4,1878,10000000000,false
8,1511,10000000000,false
8,1521,10000000000,false
8,1481,10000000000,false
8,1524,10000000000,false
8,1536,10000000000,false
8,1523,10000000000,false
8,1481,10000000000,false
8,1538,10000000000,false
16,1030,10000000000,false
16,1031,10000000000,false
16,1030,10000000000,false
16,1038,10000000000,false
16,1031,10000000000,false
16,1030,10000000000,false
16,1022,10000000000,false
16,1031,10000000000,false
16,1034,10000000000,false
16,1030,10000000000,false
16,1030,10000000000,false
16,990,10000000000,false
16,1042,10000000000,false
16,1032,10000000000,false
16,1006,10000000000,false
16,1034,10000000000,false
32,521,10000000000,false
32,527,10000000000,false
32,521,10000000000,false
32,530,10000000000,false
32,523,10000000000,false
32,515,10000000000,false
32,521,10000000000,false
32,526,10000000000,false
32,526,10000000000,false
32,514,10000000000,false
32,531,10000000000,false
32,522,10000000000,false
32,523,10000000000,false
32,528,10000000000,false
32,513,10000000000,false
32,522,10000000000,false
32,515,10000000000,false
32,526,10000000000,false
32,521,10000000000,false
32,519,10000000000,false
32,527,10000000000,false
32,518,10000000000,false
32,529,10000000000,false
32,520,10000000000,false
32,516,10000000000,false
32,526,10000000000,false
32,521,10000000000,false
32,514,10000000000,false
32,514,10000000000,false
32,520,10000000000,false
32,519,10000000000,false
32,520,10000000000,false
64,232,10000000000,false
64,225,10000000000,false
64,228,10000000000,false
64,225,10000000000,false
64,229,10000000000,false
64,226,10000000000,false
64,224,10000000000,false
64,232,10000000000,false
64,236,10000000000,false
64,231,10000000000,false
64,234,10000000000,false
64,232,10000000000,false
64,225,10000000000,false
64,227,10000000000,false
64,232,10000000000,false
64,227,10000000000,false
64,231,10000000000,false
64,234,10000000000,false
64,230,10000000000,false
64,229,10000000000,false
64,232,10000000000,false
64,229,10000000000,false
64,231,10000000000,false
64,232,10000000000,false
64,229,10000000000,false
64,237,10000000000,false
64,228,10000000000,false
64,232,10000000000,false
64,232,10000000000,false
64,230,10000000000,false
64,227,10000000000,false
64,232,10000000000,false
64,236,10000000000,false
64,230,10000000000,false
64,229,10000000000,false
64,233,10000000000,false
64,227,10000000000,false
64,228,10000000000,false
64,226,10000000000,false
64,231,10000000000,false
64,232,10000000000,false
64,233,10000000000,false
64,233,10000000000,false
64,229,10000000000,false
64,232,10000000000,false
64,229,10000000000,false
64,234,10000000000,false
64,222,10000000000,false
64,227,10000000000,false
64,227,10000000000,false
64,224,10000000000,false
64,231,10000000000,false
64,230,10000000000,false
64,230,10000000000,false
64,223,10000000000,false
64,229,10000000000,false
64,230,10000000000,false
64,231,10000000000,false
64,230,10000000000,false
64,234,10000000000,false
64,228,10000000000,false
64,229,10000000000,false
64,235,10000000000,false
64,231,10000000000,false
128,101,10000000000,false
128,103,10000000000,false
128,101,10000000000,false
128,103,10000000000,false
128,102,10000000000,false
128,103,10000000000,false
128,105,10000000000,false
128,102,10000000000,false
128,105,10000000000,false
128,107,10000000000,false
128,104,10000000000,false
