    Finished `release` profile [optimized] target(s) in 0.09s
(optimized) bytes, iterations, duration
0,3890475,10
4096,3898138,10
8192,3901440,10
16384,3907501,10
32768,3908904,10
65536,3904268,10
131072,3905861,10
262144,3901956,10
524288,3909321,10
1048576,3912289,10
2097152,3940416,10
4194304,3932394,10
8388608,3932108,10
16777216,3928766,10
33554432,3907225,10
67108864,3897037,10
134217728,3887425,10
268435456,3924789,10
536870912,3938087,10
(naive) bytes, iterations, duration
0,1640709,10
4096,1602734,10
8192,1531978,10
16384,1412862,10
32768,1227121,10
65536,957142,10
131072,594228,10
262144,249807,10
524288,123903,10
1048576,63489,10
2097152,32033,10
4194304,16201,10
8388608,8070,10
16777216,3805,10
33554432,1903,10
67108864,950,10
134217728,405,10
268435456,194,10
536870912,93,10
